timestamp,location,tweet,username,all_hashtags,followers_count
2022-01-08 09:54:37+00:00,Northern Germany,b'@kurtbardella @SteveSchmidtSES @POTUS @thereidout Asking from Germany: How is it possible that a civilized country like America is being torn apart by obvious lies?',b'reinke',[],33
2022-01-08 09:54:17+00:00,California,b'@MeghanMcCain @DailyMail VP Harris didn\xe2\x80\x99t incite the insurrection. A Republican POTUS did. R members of Congress held rallies to show their support of Trumps coup attempt. You\xe2\x80\x99re not a serious writer when you leave the true part of the story out. VP Harris doesn\xe2\x80\x99t have to worry about sad pathetic Meghan.',b'LuluElvis',[],244
2022-01-08 09:54:15+00:00,"Las Vegas, NV",b'@PieterJanssen16 @Gr8fulchik2 @POTUS @GOP All I\xe2\x80\x99m saying is that you\xe2\x80\x99re wrong that killing a fetus is not killing a baby.',b'actorzack',[],51
2022-01-08 09:54:09+00:00,,"b""@WhiteHouse Museveni having been roundly defeated in the last election, now wants to take away the right of the people of Uganda to elect their President. Of course, he plans to do this in order to impose his drunk son on us, well knowing that, he can't even get 5% of a popular vote. @POTUS https://t.co/dnKst7sI6q""",b'ShamiKei2',[],337
2022-01-08 09:54:05+00:00,,b'@ChrisCoons  @POTUS @SecBlinken @lindsaylohan @BBGAfrica @CNNAfrica @nimaelbagir @OneWorldCNN @BeckyCNN @antonioguterres  Is this the positive moment you see in Ethiopia??  Daily Drone attacks is the new normal in Tigray  Tigreans dying of the man made famine and drone attacks https://t.co/fWk5ZMXgl5',b'KGgualTigray',[],172
2022-01-08 09:54:03+00:00,San Francisco Bay Area CA,"b""Can't we call it what it is: sedition? We ALL know @POTUS  won presidential election. If anyone can claim his win was stolen, it's @algore (HERO)!   These Billionaires Kept Funding Legislators Who Refused To Certify The Election After Jan. 6 via @forbes https://t.co/jvvzFWkHTx""",b'bvwon',[],47
2022-01-08 09:54:01+00:00,,b'@5RedEyeCat @Rudofaux1 @EthanXl2 @POTUS Fascism often bears the cross. https://t.co/jISaLBRJVy',b'SocialistStrike',[],244
2022-01-08 09:54:01+00:00,"Perth, Western Australia","b""@POTUS Condolences...prayers of love for Sydney Poitier's family.  Thank you for your contribution to cinematic classics, stories that bravely represented human rights, equality, sincerity your humble cause. Kathleen, Rhaeleen, Daniel Hoban, Victoria, Melbourne, Australia, and Perth, WA""",b'HobanApolonia',[],4
2022-01-08 09:53:49+00:00,,"b""@POTUS are you ready bitcore they thought you were going to crash that is only the case if you use a desktop or server that is not virtual for the operating system and running a read write cloud script so it stores on the whole network cuz you're reusing fractions of the app""",b'phillipmacon2',[],1
2022-01-08 09:53:34+00:00,,b'@WhiteHouse Thank you for choosing business over human rights in Uganda. Your funds to Uganda are the reason for our excessive suffering. STOP YOUR HYPOCRISY &amp; DITCH THE DICTATOR #Article3UG #RiseupUg #WeAreRemovingADictator @HouseFloor  @SenateFloor  @SecBlinken @POTUS  @DOJgov  @DOJNatSec https://t.co/CsPfGeCcdF',b'Aliceugandangal',"['Article3UG', 'RiseupUg', 'WeAreRemovingADictator']",102
2022-01-08 09:53:32+00:00,"Flyover, USA","b""@SaraCarterDC @seanhannity Great piece tonight. Can't help wondering why @POTUS won't do anything about this deadly crisis. As a parent of an addicted child, he should be front line on this. 100,000 dead last year of overdose. #BidensAmerica""",b'sixxfeetundr',['BidensAmerica'],24
2022-01-08 09:53:29+00:00,,"b""@POTUS And sick again.. People are still getting sick.. People still dying... Still making boll shit money. Let's do this you work 40 hour's a week to bring home 230 dollars... And no plane on how to feed your kids pay bills on that...while the covid is still spreading around""",b'Melanie46456404',[],0
2022-01-08 09:52:54+00:00,Nunya,"b'@RepJoeNeguse @Masky_Jay_Hoody @POTUS It REALLY makes you wonder how they vote. If they are still voting Republican, they can thank them for this fukcing mess! https://t.co/Dv7UdPr2yO'",b'Outy5000',[],4639
2022-01-08 09:52:50+00:00,United States,b'@Slate Why do they even discuss it? Just rule in favor of @POTUS mandate. We have long precedent of vaccine mandates.',b'yellowmoonabove',[],1426
2022-01-08 09:52:50+00:00,"Wales, United Kingdom","b""@CatharineHoey @trussliz Let's leave the EU completely, become the Singapore upon Thames they clearly fear, if the EU is allowed to take precedence over UK law. It's the beginning of the end for the UK.  The ECJ court effectively gains power over the UK, with no representation. @POTUS @MarosSefcovic""",b'Brit04094651',[],2
2022-01-08 09:52:46+00:00,"Victoria, British Columbia","b""Interesting that Tucker, that schoolyard bully, has more power than Cruz -- in part, since there's no question of Cruz actually trying to do anything in the Senate.  Cruz must hate this, and dream of the day he becomes @POTUS and can wield actual power over Carlson.  #UncleRico https://t.co/csaOHjWl0C https://t.co/g6nWxOVbqI""",b'userX',['UncleRico'],966
2022-01-08 09:52:46+00:00,World.,"b'@ltgrusselhonore @NancyCushman @POTUS @VP @SenSchumer @SpeakerPelosi @JoeNBC @MadisonSiriusXM @jimsciutto @JohnMcCain @repjohnlewis @RepCummings @HillaryClinton @JoeBiden @BarackObama @MichelleObama @ObamaFoundation @JeffBezos @BillGates @amazon @netflix @Uber @tonywest Faucci+Corrupted Evil @WHO+ Corrupted Evil Homicide Criminal Director @WHO+Corrupted @CDCgov+Corrupted Evil Wealthy Homicide @CDCDirector+@JoeManchinWV+@jaredkushner @StephenM+@SecNielsen+Tom Homan+Flynn+@DonaldJTrumpJr +@DonaldTrump+@KrystenSinema +@IvankaTrump+EricTrump+)"". ???'",b'An1WorldGovt',[],484
2022-01-08 09:52:40+00:00,"Bogotá, D.C., Colombia","b'@skinosian @_elfaro_ Was this one of the ""few"" things @potus @JoeBiden wanted to keep ""hush hush"" \xf0\x9f\xa5\xb8\xf0\x9f\x91\x87\xf0\x9f\x91\x87\xf0\x9f\x91\x87 https://t.co/0a96dgdjq0'",b'Armandolamezcla',[],279
2022-01-08 09:52:38+00:00,,b'@POTUS @JoeBiden Please try to solve the problem of movie copyright in the world',b'gLim4A6hcivRVYv',[],4
2022-01-08 09:52:38+00:00,"North Carolina, USA",b'@ybvstheworld @POTUS @JoeBiden Who are you speAking for?',b'donoghue_patty',[],427
2022-01-08 09:52:33+00:00,"Bellingham, WA","b'@smallmoonboy @POTUS @LindseyGrahamSC @LeaderMcConnell @SenJackReed @BarackObama https://t.co/nkwmpQuBSx Thousands (16 at its worst) of SMUD customers were without power Thursday night, according to outage maps from the utility company. The outages ~10:20 pm affected people in Sacramento County, south of Gerber Road: between Bradshaw &amp; Elk Grove Florin Roads.'",b'lisaishyp1',[],9098
2022-01-08 09:52:29+00:00,,b'love that @potus and the @dnc are more concerned with the sanctity of this illegitimate right wing SCOTUS than actually doing anything to fix it  https://t.co/E1GW7v6uKC',b'cornpop_2022',[],5
2022-01-08 09:52:27+00:00,,"b'@chenweihua @POTUS Biden is killing it!  ""Around six-in-ten Democrats and Democratic leaners (59%) say Obama has done the best job as president of any president of the past 40 years. Far fewer name Bill Clinton (19%) or Joe Biden (5%), who will complete his first year in office next month.""'",b'newentropian',[],51
